nom_dept,code_insee_com,nom_com,polluant,annee,mois,conc_moyenne,conc_min,conc_max,nb_mesures
ARIEGE,9261,SAINT-GIRONS,NO,2022,8,1.64,1.3,2.3,9
ARIEGE,9261,SAINT-GIRONS,NO,2022,9,1.61,0.6,3.0,30
ARIEGE,9261,SAINT-GIRONS,NO,2022,10,2.42,0.6,10.8,31
ARIEGE,9261,SAINT-GIRONS,NO,2022,11,3.57,0.6,11.7,30
ARIEGE,9261,SAINT-GIRONS,NO,2022,12,7.28,1.8,18.5,31
ARIEGE,9261,SAINT-GIRONS,NO,2023,1,4.33,1.9,8.2,31
ARIEGE,9261,SAINT-GIRONS,NO,2023,2,3.9,1.4,9.0,28
ARIEGE,9261,SAINT-GIRONS,NO,2023,3,2.39,1.2,4.8,29
ARIEGE,9261,SAINT-GIRONS,NO,2023,4,2.05,1.3,2.8,11
ARIEGE,9261,SAINT-GIRONS,NO2,2022,8,3.09,1.4,5.5,9
ARIEGE,9261,SAINT-GIRONS,NO2,2022,9,5.51,0.0,8.2,48
ARIEGE,9261,SAINT-GIRONS,NO2,2022,10,7.88,3.0,17.2,89
ARIEGE,9261,SAINT-GIRONS,NO2,2022,11,10.25,4.6,18.4,90
ARIEGE,9261,SAINT-GIRONS,NO2,2022,12,9.02,4.5,13.7,89
ARIEGE,9261,SAINT-GIRONS,NO2,2023,1,8.59,5.1,13.3,89
ARIEGE,9261,SAINT-GIRONS,NO2,2023,2,9.41,3.3,13.6,80
ARIEGE,9261,SAINT-GIRONS,NO2,2023,3,6.47,2.2,13.2,85
ARIEGE,9261,SAINT-GIRONS,NO2,2023,4,5.22,2.6,7.5,33
ARIEGE,9261,SAINT-GIRONS,NOX,2022,8,5.62,3.5,9.0,9
ARIEGE,9261,SAINT-GIRONS,NOX,2022,9,8.04,1.8,12.8,46
ARIEGE,9261,SAINT-GIRONS,NOX,2022,10,11.61,3.8,33.8,91
ARIEGE,9261,SAINT-GIRONS,NOX,2022,11,15.63,6.1,35.9,88
ARIEGE,9261,SAINT-GIRONS,NOX,2022,12,20.33,8.2,39.5,89
ARIEGE,9261,SAINT-GIRONS,NOX,2023,1,15.37,8.1,26.0,89
ARIEGE,9261,SAINT-GIRONS,NOX,2023,2,15.3,5.5,27.4,80
ARIEGE,9261,SAINT-GIRONS,NOX,2023,3,10.09,4.4,19.0,85
ARIEGE,9261,SAINT-GIRONS,NOX,2023,4,8.39,4.6,11.1,31
ARIEGE,9261,SAINT-GIRONS,O3,2022,8,62.98,47.6,79.7,9
ARIEGE,9261,SAINT-GIRONS,O3,2022,9,56.89,41.4,70.1,57
ARIEGE,9261,SAINT-GIRONS,O3,2022,10,38.15,19.0,59.5,115
ARIEGE,9261,SAINT-GIRONS,O3,2022,11,39.26,20.1,59.0,117
ARIEGE,9261,SAINT-GIRONS,O3,2022,12,22.48,7.4,41.8,121
ARIEGE,9261,SAINT-GIRONS,O3,2023,1,41.39,18.7,74.6,118
ARIEGE,9261,SAINT-GIRONS,O3,2023,2,45.34,30.8,62.1,48
ARIEGE,9261,SAINT-GIRONS,O3,2023,3,56.55,39.9,82.2,118
ARIEGE,9261,SAINT-GIRONS,O3,2023,4,60.25,31.9,89.3,117
ARIEGE,9261,SAINT-GIRONS,O3,2023,5,61.79,42.1,82.3,118
ARIEGE,9261,SAINT-GIRONS,O3,2023,6,61.04,41.0,82.5,117
ARIEGE,9261,SAINT-GIRONS,O3,2023,7,52.33,35.5,69.1,121
ARIEGE,9261,SAINT-GIRONS,O3,2023,8,54.68,35.4,73.0,83
ARIEGE,9261,SAINT-GIRONS,O3,2023,9,54.51,38.2,67.1,40
ARIEGE,9261,SAINT-GIRONS,O3,2023,10,45.51,29.7,71.5,42
ARIEGE,9261,SAINT-GIRONS,O3,2023,11,37.95,18.8,63.3,30
ARIEGE,9261,SAINT-GIRONS,O3,2023,12,35.66,16.5,72.9,31
ARIEGE,9261,SAINT-GIRONS,O3,2024,1,32.56,15.7,55.9,31
ARIEGE,9261,SAINT-GIRONS,O3,2024,2,41.4,21.0,71.5,28
ARIEGE,9261,SAINT-GIRONS,O3,2024,3,57.92,38.0,79.1,31
ARIEGE,9261,SAINT-GIRONS,O3,2024,4,68.07,49.7,92.4,30
ARIEGE,9261,SAINT-GIRONS,O3,2024,5,61.81,47.3,85.9,31
ARIEGE,9261,SAINT-GIRONS,O3,2024,6,57.13,45.7,69.8,28
ARIEGE,9261,SAINT-GIRONS,O3,2024,7,52.45,34.7,71.5,36
ARIEGE,9261,SAINT-GIRONS,O3,2024,8,47.51,36.7,62.3,31
ARIEGE,9261,SAINT-GIRONS,O3,2024,9,45.61,31.5,65.7,30
ARIEGE,9261,SAINT-GIRONS,O3,2024,10,35.52,12.0,57.8,29
ARIEGE,9261,SAINT-GIRONS,O3,2024,11,30.51,9.1,60.4,33
ARIEGE,9261,SAINT-GIRONS,O3,2024,12,36.82,12.3,72.1,31
ARIEGE,9261,SAINT-GIRONS,O3,2025,1,33.77,11.2,59.3,27
ARIEGE,9261,SAINT-GIRONS,O3,2025,2,40.02,18.8,66.0,28
ARIEGE,9261,SAINT-GIRONS,O3,2025,3,56.81,34.0,79.3,31
ARIEGE,9261,SAINT-GIRONS,O3,2025,4,58.45,44.1,75.2,30
ARIEGE,9261,SAINT-GIRONS,O3,2025,5,62.73,45.9,83.2,31
