nom_dept,nom_com,code_insee_com,polluant,conc_moyenne,niveau_vie,pct_appartements,population
HERAULT,AGDE,34003,NO,0.99,20410,72.2,29939
HERAULT,AGDE,34003,NO2,5.72,20410,72.2,29939
HERAULT,AGDE,34003,NOX,7.29,20410,72.2,29939
HERAULT,AGDE,34003,O3,68.42,20410,72.2,29939
HERAULT,AGDE,34003,PM10,12.84,20410,72.2,29939
HERAULT,AGDE,34003,PM2.5,7.47,20410,72.2,29939
TARN,ALBI,81004,NO,2.74,21650,49.7,51290
TARN,ALBI,81004,NO2,10.0,21650,49.7,51290
TARN,ALBI,81004,NOX,14.58,21650,49.7,51290
TARN,ALBI,81004,PM10,12.94,21650,49.7,51290
TARN,ALBI,81004,PM2.5,9.67,21650,49.7,51290
GARD,ALES,30007,NO,6.31,18000,62.5,46125
GARD,ALES,30007,NO2,11.39,18000,62.5,46125
GARD,ALES,30007,NOX,20.97,18000,62.5,46125
GARD,ALES,30007,O3,42.82,18000,62.5,46125
GARD,ALES,30007,PM10,11.86,18000,62.5,46125
GARD,ALES,30007,PM2.5,7.44,18000,62.5,46125
HAUTES-PYRENEES,ARGELES-GAZOST,65025,NO,5.84,21770,55.8,2761
HAUTES-PYRENEES,ARGELES-GAZOST,65025,NO2,10.02,21770,55.8,2761
HAUTES-PYRENEES,ARGELES-GAZOST,65025,NOX,18.92,21770,55.8,2761
HAUTES-PYRENEES,ARGELES-GAZOST,65025,O3,44.11,21770,55.8,2761
HAUTES-PYRENEES,ARGELES-GAZOST,65025,PM10,14.55,21770,55.8,2761
HAUTES-PYRENEES,ARGELES-GAZOST,65025,PM2.5,8.75,21770,55.8,2761
GERS,AUCH,32013,NO,5.08,21800,53.4,22428
GERS,AUCH,32013,NO2,10.35,21800,53.4,22428
GERS,AUCH,32013,NOX,17.91,21800,53.4,22428
GERS,AUCH,32013,O3,48.07,21800,53.4,22428
GERS,AUCH,32013,PM10,12.81,21800,53.4,22428
GERS,AUCH,32013,PM2.5,8.27,21800,53.4,22428
HAUTE-GARONNE,BELESTA-EN-LAURAGAIS,31060,O3,64.09,22770,0,114
HAUTE-GARONNE,BESSIERES,31066,PM10,12.24,23110,21,4310
HERAULT,BEZIERS,34032,NO,10.82,16830,63.3,81545
HERAULT,BEZIERS,34032,NO2,17.61,16830,63.3,81545
HERAULT,BEZIERS,34032,NOX,34.28,16830,63.3,81545
HERAULT,BEZIERS,34032,PM10,13.06,16830,63.3,81545
HERAULT,BEZIERS,34032,PM2.5,8.2,16830,63.3,81545
