nom_com,code_insee_com,nom_dept,moyenne_pollution,Tmax_med
RODEZ,12202,AVEYRON,22.0,15.6
ALES,30007,GARD,15.45,20.7
LA CALMETTE,30061,GARD,51.6,21.2
NIMES,30189,GARD,19.17,19.5
SAZE,30315,GARD,59.7,19.8
BELESTA-EN-LAURAGAIS,31060,HAUTE-GARONNE,64.09,17.6
BESSIERES,31066,HAUTE-GARONNE,12.24,12.4
BLAGNAC,31069,HAUTE-GARONNE,14.7,18.1
MIRAMONT-DE-COMMINGES,31344,HAUTE-GARONNE,9.62,18.3
MONTGISCARD,31381,HAUTE-GARONNE,36.14,19.4
SAINT-GAUDENS,31483,HAUTE-GARONNE,0.63,18.25
TOULOUSE,31555,HAUTE-GARONNE,30.01,18.1
AUCH,32013,GERS,21.18,18.9
GAUDONVILLE,32139,GERS,64.42,18.6
PEYRUSSE-VIEILLE,32317,GERS,15.92,18.1
AGDE,34003,HERAULT,22.65,19.55
BEZIERS,34032,HERAULT,20.63,19.5
CORNEILHAN,34084,HERAULT,65.52,19.5
LATTES,34129,HERAULT,60.32,19.9
LUNEL-VIEL,34146,HERAULT,8.95,20.4
MONTPELLIER,34172,HERAULT,34.35,19.0
SAINT-GELY-DU-FESC,34255,HERAULT,63.89,19.8
SETE,34301,HERAULT,17.61,17.9
BIARS-SUR-CERE,46029,LOT,10.35,19.95
MENDE,48095,LOZERE,6.55,16.1
ARGELES-GAZOST,65025,HAUTES-PYRENEES,22.32,18.9
ESCALA,65159,HAUTES-PYRENEES,5.83,16.15
LOURDES,65286,HAUTES-PYRENEES,19.28,18.5
TARBES,65440,HAUTES-PYRENEES,21.02,17.4
BOLQUERE,66020,PYRENEES-ORIENTALES,7.23,14.7
PERPIGNAN,66136,PYRENEES-ORIENTALES,37.79,19.45
SAINT-ESTEVE,66172,PYRENEES-ORIENTALES,66.47,19.45
ALBI,81004,TARN,10.35,18.6
CASTRES,81065,TARN,19.0,20.4
MONTAUBAN,82121,TARN-ET-GARONNE,22.26,18.6
SAINT-GIRONS,9261,ARIEGE,23.17,17.5
