nom_com,code_insee_com,nom_dept,moyenne_pollution,Force_vent_med
RODEZ,12202,AVEYRON,22.0,3.5
ALES,30007,GARD,15.45,2.8
LA CALMETTE,30061,GARD,51.6,3.3
NIMES,30189,GARD,19.17,3.3
SAZE,30315,GARD,59.7,3.9
BELESTA-EN-LAURAGAIS,31060,HAUTE-GARONNE,64.09,4.6
BESSIERES,31066,HAUTE-GARONNE,12.24,3.0
BLAGNAC,31069,HAUTE-GARONNE,14.7,3.6
MIRAMONT-DE-COMMINGES,31344,HAUTE-GARONNE,9.62,1.8
MONTGISCARD,31381,HAUTE-GARONNE,36.14,2.9
SAINT-GAUDENS,31483,HAUTE-GARONNE,0.63,2.2
TOULOUSE,31555,HAUTE-GARONNE,30.01,3.6
AUCH,32013,GERS,21.18,2.0
GAUDONVILLE,32139,GERS,64.42,3.1
PEYRUSSE-VIEILLE,32317,GERS,15.92,2.9
AGDE,34003,HERAULT,22.65,3.2
BEZIERS,34032,HERAULT,20.63,4.0
CORNEILHAN,34084,HERAULT,65.52,3.1
LATTES,34129,HERAULT,60.32,2.6
LUNEL-VIEL,34146,HERAULT,8.95,2.5
MONTPELLIER,34172,HERAULT,34.35,2.6
SAINT-GELY-DU-FESC,34255,HERAULT,63.89,2.2
SETE,34301,HERAULT,17.61,4.8
BIARS-SUR-CERE,46029,LOT,10.35,2.6
MENDE,48095,LOZERE,6.55,2.6
ARGELES-GAZOST,65025,HAUTES-PYRENEES,22.32,2.0
ESCALA,65159,HAUTES-PYRENEES,5.83,2.6
LOURDES,65286,HAUTES-PYRENEES,19.28,2.5
TARBES,65440,HAUTES-PYRENEES,21.02,2.5
BOLQUERE,66020,PYRENEES-ORIENTALES,7.23,2.8
PERPIGNAN,66136,PYRENEES-ORIENTALES,37.79,4.5
SAINT-ESTEVE,66172,PYRENEES-ORIENTALES,66.47,4.5
ALBI,81004,TARN,10.35,2.4
CASTRES,81065,TARN,19.0,2.1
MONTAUBAN,82121,TARN-ET-GARONNE,22.26,2.2
SAINT-GIRONS,9261,ARIEGE,23.17,2.0
