nom_com,code_insee_com,nom_poll,moyenne_pollution,Tmax_med,Force_vent_med
RODEZ,12202,NO,5.02,15.6,3.5
RODEZ,12202,NO2,10.03,15.6,3.5
RODEZ,12202,NOX,17.87,15.6,3.5
RODEZ,12202,O3,60.96,15.6,3.5
RODEZ,12202,PM10,10.79,15.6,3.5
RODEZ,12202,PM2.5,6.68,15.6,3.5
ALES,30007,NO,6.31,20.7,2.8
ALES,30007,NO2,11.39,20.7,2.8
ALES,30007,NOX,20.97,20.7,2.8
ALES,30007,O3,42.82,20.7,2.8
ALES,30007,PM10,11.86,20.7,2.8
ALES,30007,PM2.5,7.44,20.7,2.8
LA CALMETTE,30061,O3,51.6,21.2,3.3
NIMES,30189,NO,8.68,19.5,3.3
NIMES,30189,NO2,18.21,19.5,3.3
NIMES,30189,NOX,27.33,19.5,3.3
NIMES,30189,O3,56.48,19.5,3.3
NIMES,30189,PM10,15.82,19.5,3.3
NIMES,30189,PM2.5,8.69,19.5,3.3
SAZE,30315,O3,59.7,19.8,3.9
BELESTA-EN-LAURAGAIS,31060,O3,64.09,17.6,4.6
BESSIERES,31066,PM10,12.24,12.4,3.0
BLAGNAC,31069,NO,6.22,18.1,3.6
BLAGNAC,31069,NO2,14.26,18.1,3.6
BLAGNAC,31069,NOX,24.13,18.1,3.6
BLAGNAC,31069,PM10,13.25,18.1,3.6
BLAGNAC,31069,PM2.5,8.6,18.1,3.6
MIRAMONT-DE-COMMINGES,31344,H2S,1.24,18.3,1.8
MIRAMONT-DE-COMMINGES,31344,O3,49.33,18.3,1.8
MIRAMONT-DE-COMMINGES,31344,SO2,0.91,18.3,1.8
MONTGISCARD,31381,NO2,5.42,19.4,2.9
MONTGISCARD,31381,O3,61.45,19.4,2.9
SAINT-GAUDENS,31483,H2S,0.84,18.25,2.2
SAINT-GAUDENS,31483,SO2,0.42,18.25,2.2
TOULOUSE,31555,NO,21.21,18.1,3.6
TOULOUSE,31555,NO2,24.1,18.1,3.6
TOULOUSE,31555,NOX,55.79,18.1,3.6
TOULOUSE,31555,O3,55.15,18.1,3.6
TOULOUSE,31555,PM10,16.33,18.1,3.6
TOULOUSE,31555,PM2.5,9.42,18.1,3.6
AUCH,32013,NO,5.08,18.9,2.0
AUCH,32013,NO2,10.35,18.9,2.0
AUCH,32013,NOX,17.91,18.9,2.0
AUCH,32013,O3,48.07,18.9,2.0
AUCH,32013,PM10,12.81,18.9,2.0
AUCH,32013,PM2.5,8.27,18.9,2.0
GAUDONVILLE,32139,O3,64.42,18.6,3.1
PEYRUSSE-VIEILLE,32317,NO,0.15,18.1,2.9
PEYRUSSE-VIEILLE,32317,NO2,0.88,18.1,2.9
PEYRUSSE-VIEILLE,32317,NOX,1.05,18.1,2.9
PEYRUSSE-VIEILLE,32317,O3,63.61,18.1,2.9
PEYRUSSE-VIEILLE,32317,PM10,9.38,18.1,2.9
PEYRUSSE-VIEILLE,32317,PM2.5,6.06,18.1,2.9
AGDE,34003,NO,0.99,19.55,3.2
AGDE,34003,NO2,5.72,19.55,3.2
AGDE,34003,NOX,7.29,19.55,3.2
AGDE,34003,O3,68.42,19.55,3.2
AGDE,34003,PM10,12.84,19.55,3.2
AGDE,34003,PM2.5,7.47,19.55,3.2
BEZIERS,34032,NO,10.82,19.5,4.0
BEZIERS,34032,NO2,17.61,19.5,4.0
BEZIERS,34032,NOX,34.28,19.5,4.0
BEZIERS,34032,PM10,13.06,19.5,4.0
BEZIERS,34032,PM2.5,8.2,19.5,4.0
CORNEILHAN,34084,O3,65.52,19.5,3.1
LATTES,34129,O3,60.32,19.9,2.6
LUNEL-VIEL,34146,NO,3.18,20.4,2.5
LUNEL-VIEL,34146,NO2,8.01,20.4,2.5
LUNEL-VIEL,34146,NOX,12.82,20.4,2.5
LUNEL-VIEL,34146,PM10,13.03,20.4,2.5
LUNEL-VIEL,34146,PM2.5,8.22,20.4,2.5
MONTPELLIER,34172,NO,23.7,19.0,2.6
MONTPELLIER,34172,NO2,26.1,19.0,2.6
MONTPELLIER,34172,NOX,66.04,19.0,2.6
MONTPELLIER,34172,O3,54.31,19.0,2.6
MONTPELLIER,34172,PM10,20.19,19.0,2.6
MONTPELLIER,34172,PM2.5,10.04,19.0,2.6
SAINT-GELY-DU-FESC,34255,O3,63.89,19.8,2.2
SETE,34301,NO,6.67,17.9,4.8
SETE,34301,NO2,19.12,17.9,4.8
SETE,34301,NOX,22.94,17.9,4.8
BIARS-SUR-CERE,46029,PM10,12.35,19.95,2.6
BIARS-SUR-CERE,46029,PM2.5,8.35,19.95,2.6
MENDE,48095,PM10,7.52,16.1,2.6
MENDE,48095,PM2.5,5.58,16.1,2.6
ARGELES-GAZOST,65025,NO,5.84,18.9,2.0
ARGELES-GAZOST,65025,NO2,10.02,18.9,2.0
ARGELES-GAZOST,65025,NOX,18.92,18.9,2.0
ARGELES-GAZOST,65025,O3,44.11,18.9,2.0
ARGELES-GAZOST,65025,PM10,14.55,18.9,2.0
ARGELES-GAZOST,65025,PM2.5,8.75,18.9,2.0
ESCALA,65159,NO,1.02,16.15,2.6
ESCALA,65159,NO2,5.43,16.15,2.6
ESCALA,65159,NOX,6.96,16.15,2.6
