nom_com,code_insee_com,nom_dept,nom_poll,moyenne_pollution,Tmax_med,Tmin_med,Force_vent_med,RR_med,Insolation_med,Rayonnement_med
RODEZ,12202,AVEYRON,NO,5.02,15.6,5.6,3.5,66.3,3672.5,13495.0
RODEZ,12202,AVEYRON,NO2,10.03,15.6,5.6,3.5,66.3,3672.5,13495.0
RODEZ,12202,AVEYRON,NOX,17.87,15.6,5.6,3.5,66.3,3672.5,13495.0
RODEZ,12202,AVEYRON,O3,60.96,15.6,5.6,3.5,66.3,3672.5,13495.0
RODEZ,12202,AVEYRON,PM10,10.79,15.6,5.6,3.5,66.3,3672.5,13495.0
RODEZ,12202,AVEYRON,PM2.5,6.68,15.6,5.6,3.5,66.3,3672.5,13495.0
ALES,30007,GARD,NO,6.31,20.7,9.1,2.8,54.7,3865.5,13845.0
ALES,30007,GARD,NO2,11.39,20.7,9.1,2.8,54.7,3865.5,13845.0
ALES,30007,GARD,NOX,20.97,20.7,9.1,2.8,54.7,3865.5,13845.0
ALES,30007,GARD,O3,42.82,20.7,9.1,2.8,54.7,3865.5,13845.0
ALES,30007,GARD,PM10,11.86,20.7,9.1,2.8,54.7,3865.5,13845.0
ALES,30007,GARD,PM2.5,7.44,20.7,9.1,2.8,54.7,3865.5,13845.0
LA CALMETTE,30061,GARD,O3,51.6,21.2,8.3,3.3,53.8,4324.5,14620.0
NIMES,30189,GARD,NO,8.68,19.5,9.5,3.3,74.5,4324.5,14620.0
NIMES,30189,GARD,NO2,18.21,19.5,9.5,3.3,74.5,4324.5,14620.0
NIMES,30189,GARD,NOX,27.33,19.5,9.5,3.3,74.5,4324.5,14620.0
NIMES,30189,GARD,O3,56.48,19.5,9.5,3.3,74.5,4324.5,14620.0
NIMES,30189,GARD,PM10,15.82,19.5,9.5,3.3,74.5,4324.5,14620.0
NIMES,30189,GARD,PM2.5,8.69,19.5,9.5,3.3,74.5,4324.5,14620.0
SAZE,30315,GARD,O3,59.7,19.8,8.7,3.9,52.4,4377.0,14986.0
BELESTA-EN-LAURAGAIS,31060,HAUTE-GARONNE,O3,64.09,17.6,9.5,4.6,48.5,3605.0,15422.0
BESSIERES,31066,HAUTE-GARONNE,PM10,12.24,12.4,4.6,3.0,54.1,3239.5,12941.5
BLAGNAC,31069,HAUTE-GARONNE,NO,6.22,18.1,8.4,3.6,49.65,3378.0,12998.5
BLAGNAC,31069,HAUTE-GARONNE,NO2,14.26,18.1,8.4,3.6,49.65,3378.0,12998.5
BLAGNAC,31069,HAUTE-GARONNE,NOX,24.13,18.1,8.4,3.6,49.65,3378.0,12998.5
BLAGNAC,31069,HAUTE-GARONNE,PM10,13.25,18.1,8.4,3.6,49.65,3378.0,12998.5
BLAGNAC,31069,HAUTE-GARONNE,PM2.5,8.6,18.1,8.4,3.6,49.65,3378.0,12998.5
MIRAMONT-DE-COMMINGES,31344,HAUTE-GARONNE,H2S,1.24,18.3,6.1,1.8,73.0,3884.0,14003.0
MIRAMONT-DE-COMMINGES,31344,HAUTE-GARONNE,O3,49.33,18.3,6.1,1.8,73.0,3884.0,14003.0
MIRAMONT-DE-COMMINGES,31344,HAUTE-GARONNE,SO2,0.91,18.3,6.1,1.8,73.0,3884.0,14003.0
MONTGISCARD,31381,HAUTE-GARONNE,NO2,5.42,19.4,9.9,2.9,54.65,3982.0,14329.5
MONTGISCARD,31381,HAUTE-GARONNE,O3,61.45,19.4,9.9,2.9,54.65,3982.0,14329.5
SAINT-GAUDENS,31483,HAUTE-GARONNE,H2S,0.84,18.25,6.55,2.2,65.3,3373.0,13106.5
SAINT-GAUDENS,31483,HAUTE-GARONNE,SO2,0.42,18.25,6.55,2.2,65.3,3373.0,13106.5
TOULOUSE,31555,HAUTE-GARONNE,NO,21.21,18.1,8.4,3.6,52.5,3378.0,12998.5
TOULOUSE,31555,HAUTE-GARONNE,NO2,24.1,18.1,8.4,3.6,52.5,3378.0,12998.5
TOULOUSE,31555,HAUTE-GARONNE,NOX,55.79,18.1,8.4,3.6,52.5,3378.0,12998.5
TOULOUSE,31555,HAUTE-GARONNE,O3,55.15,18.1,8.4,3.6,52.5,3378.0,12998.5
TOULOUSE,31555,HAUTE-GARONNE,PM10,16.33,18.1,8.4,3.6,52.5,3378.0,12998.5
TOULOUSE,31555,HAUTE-GARONNE,PM2.5,9.42,18.1,8.4,3.6,52.5,3378.0,12998.5
AUCH,32013,GERS,NO,5.08,18.9,7.8,2.0,56.5,3218.0,12922.0
AUCH,32013,GERS,NO2,10.35,18.9,7.8,2.0,56.5,3218.0,12922.0
