nom_com,code_insee_com,nom_dept,moyenne_pollution,niveau_vie_median_2021,population_municipale_2023
RODEZ,12202,AVEYRON,22.0,22210.0,23981
ALES,30007,GARD,15.45,18000.0,46125
LA CALMETTE,30061,GARD,51.6,21630.0,2604
NIMES,30189,GARD,19.17,18760.0,151839
SAZE,30315,GARD,59.7,24560.0,2096
BELESTA-EN-LAURAGAIS,31060,HAUTE-GARONNE,64.09,22770.0,114
BESSIERES,31066,HAUTE-GARONNE,12.24,23110.0,4310
BLAGNAC,31069,HAUTE-GARONNE,14.7,25350.0,27604
MIRAMONT-DE-COMMINGES,31344,HAUTE-GARONNE,9.62,20040.0,736
MONTGISCARD,31381,HAUTE-GARONNE,36.14,27200.0,2587
SAINT-GAUDENS,31483,HAUTE-GARONNE,0.63,19530.0,12139
TOULOUSE,31555,HAUTE-GARONNE,30.01,22140.0,514819
AUCH,32013,GERS,21.18,21800.0,22428
GAUDONVILLE,32139,GERS,64.42,N/A - secret statistique,101
PEYRUSSE-VIEILLE,32317,GERS,15.92,N/A - secret statistique,63
AGDE,34003,HERAULT,22.65,20410.0,29939
BEZIERS,34032,HERAULT,20.63,16830.0,81545
CORNEILHAN,34084,HERAULT,65.52,22500.0,1622
LATTES,34129,HERAULT,60.32,26460.0,17351
LUNEL-VIEL,34146,HERAULT,8.95,21680.0,4507
MONTPELLIER,34172,HERAULT,34.35,19670.0,310240
SAINT-GELY-DU-FESC,34255,HERAULT,63.89,29940.0,10472
SETE,34301,HERAULT,17.61,19960.0,45337
BIARS-SUR-CERE,46029,LOT,10.35,20730.0,1957
MENDE,48095,LOZERE,6.55,22980.0,12464
ARGELES-GAZOST,65025,HAUTES-PYRENEES,22.32,21770.0,2761
ESCALA,65159,HAUTES-PYRENEES,5.83,22430.0,347
LOURDES,65286,HAUTES-PYRENEES,19.28,18810.0,13266
TARBES,65440,HAUTES-PYRENEES,21.02,19070.0,44399
BOLQUERE,66020,PYRENEES-ORIENTALES,7.23,23310.0,816
PERPIGNAN,66136,PYRENEES-ORIENTALES,37.79,17380.0,121616
SAINT-ESTEVE,66172,PYRENEES-ORIENTALES,66.47,22170.0,11630
ALBI,81004,TARN,10.35,21650.0,51290
CASTRES,81065,TARN,19.0,20940.0,42505
MONTAUBAN,82121,TARN-ET-GARONNE,22.26,21630.0,62945
SAINT-GIRONS,9261,ARIEGE,23.17,20320.0,6008
